file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,1,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,4
styles.css,2,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,31
styles.css,3,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,32
styles.css,4,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,23
styles.css,5,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,0,0
styles.css,6,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,0,0
styles.css,7,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,0,18
styles.css,8,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,17
styles.css,9,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,8
styles.css,10,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,10
styles.css,11,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,12,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,13,css,8b5c2d51,Dhruv Sehgal,2025-10-03,20:05:08,-07:00,2025-10-03T20:05:08-07:00,0,4
styles.css,14,css,8b5c2d51,Dhruv Sehgal,2025-10-03,20:05:08,-07:00,2025-10-03T20:05:08-07:00,2,43
styles.css,15,css,8b5c2d51,Dhruv Sehgal,2025-10-03,20:05:08,-07:00,2025-10-03T20:05:08-07:00,4,42
styles.css,16,css,8b5c2d51,Dhruv Sehgal,2025-10-03,20:05:08,-07:00,2025-10-03T20:05:08-07:00,3,0
styles.css,17,css,8b5c2d51,Dhruv Sehgal,2025-10-03,20:05:08,-07:00,2025-10-03T20:05:08-07:00,2,23
styles.css,18,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,2,14
styles.css,19,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,2,18
styles.css,20,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,2,18
styles.css,21,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,0
styles.css,22,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,23,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,3
styles.css,24,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,12
styles.css,25,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,17
styles.css,26,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,23
styles.css,27,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,25
styles.css,28,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,43
styles.css,29,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,39
styles.css,30,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,39
styles.css,31,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,32,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,33,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,5
styles.css,34,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,6
styles.css,35,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,20
styles.css,36,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,13
styles.css,37,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,17
styles.css,38,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,13
styles.css,39,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,20
styles.css,40,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,41,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,42,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,14
styles.css,43,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,12
styles.css,44,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,36
styles.css,45,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,7
styles.css,46,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,17
styles.css,47,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,48,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,49,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,2
styles.css,50,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,12
styles.css,51,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,36
styles.css,52,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,7
styles.css,53,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,13
styles.css,54,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,55,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,56,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,2
styles.css,57,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,10
styles.css,58,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,59,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,60,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,2
styles.css,61,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,10
styles.css,62,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,63,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,64,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,9
